,Dpt_name,DPTO
1,Amazonas,91
2,Antioquia,5
3,Arauca,81
4,Atlantico,8
5,Bogota,11
6,Bolivar,13
7,Boyaca,15
8,Caldas,17
9,Caqueta,18
10,Casanare,85
11,Cauca,19
12,Cesar,20
13,Choco,27
14,Cordoba,23
15,Cundinamarca,25
16,Guania,94
17,Guaviare,95
18,Huila,41
19,La Guajira,44
20,Magdalena,47
21,Meta,50
22,Narino,52
23,Norte de Santander,54
24,Putumayo,86
25,Quindio,63
26,Risaralda,66
27,Santander,68
28,Sucre,70
29,Tolima,73
30,Valle del Cauca,76
31,Vaupes,97
32,Vichada,99
